"method","design","sample","adjustment","coef","se","tstat","pval","ci_low","ci_high","n"
"rdrobust","sharp","Auth","linear (rdrobust)",-26,24.43,-1.06,0.1008,-87.97,7.8,464
"rdrobust","sharp","NoAuth","linear (rdrobust)",19.43,11.86,1.64,0.1577,-6.49,40.01,1138
"rdrobust","sharp","Auth_NegRet","linear (rdrobust)",-55.05,42.74,-1.29,0.1067,-152.72,14.83,214
"rdrobust","sharp","Auth_PosRet","linear (rdrobust)",6.38,32.84,0.19,0.8315,-71.36,57.38,250
"rdrobust","fuzzy","All","linear (rdrobust)",-126.14,235.31,-0.54,0.7948,-522.39,400,1602
"rdrobust","fuzzy","Auth","linear (rdrobust)",277.58,430.26,0.65,0.1835,-271.01,1415.58,464
"rdrobust","fuzzy","Auth_NegRet","linear (rdrobust)",1504.17,7962.99,0.19,0.4392,-9447.02,21767.34,214
"rdrobust","fuzzy","Auth_PosRet","linear (rdrobust)",-35.9,187.55,-0.19,0.8625,-335.12,400.07,250
"rdrobust","sharp","Auth","linear (rdrobust, opt-bw)",-25.09,35.63,-0.7,0.4873,-94.58,45.09,129
"rdrobust","sharp","NoAuth","linear (rdrobust, opt-bw)",34.28,17.89,1.92,0.0303,3.68,73.83,226
"rdrobust","sharp","Auth_NegRet","linear (rdrobust, opt-bw)",-72.75,61.91,-1.18,0.2628,-190.66,52.01,70
"rdrobust","sharp","Auth_PosRet","linear (rdrobust, opt-bw)",-18.2,43.71,-0.42,0.6201,-107.33,64,56
"rdrobust","fuzzy","All","linear (rdrobust, opt-bw)",-129.29,168.77,-0.77,0.3279,-495.89,165.67,2119
"rdrobust","fuzzy","Auth","linear (rdrobust, opt-bw)",176.72,212.5,0.83,0.4069,-240.25,592.72,851
"rdrobust","fuzzy","Auth_NegRet","linear (rdrobust, opt-bw)",373.14,547.96,0.68,0.4114,-623.84,1524.11,408
"rdrobust","fuzzy","Auth_PosRet","linear (rdrobust, opt-bw)",-8.21,134.98,-0.06,0.9425,-274.28,254.82,426
