depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,kernel
approved,0.05,1,nocov,0.04743860083431756,0.015039872919412127,3.154188940857874,0.0016094484990409072,0.017960031450697685,0.07691717021793743,0.058957138767239736,28150,triangular
approved,0.05,1,ridge,0.04267063363457481,0.015168028671332373,2.813195739484753,0.004905178223843536,0.012941843722292429,0.07239942354685719,0.05945757982456476,28150,triangular
approved,0.05,1,lasso,0.04622829814111768,0.01516659975100242,3.0480331056446763,0.002303445494609711,0.016507820293324135,0.07594877598891123,0.05944095569558709,28150,triangular
approved,0.05,1,rf,0.04594158216199136,0.015122037759859753,3.038054982506368,0.002381105055956309,0.016045871813364625,0.07583729251061809,0.05979142069725346,28150,triangular
approved,0.05,1,lgbm,0.043227478495844164,0.015170710130241946,2.849403760584196,0.004380125505422919,0.013272605369161333,0.073182351622527,0.05990974625336566,28150,triangular
approved,0.05,1,xgb,0.04553401616324529,0.015203255536228455,2.9950174852182436,0.002744291097589262,0.01573618286447833,0.07533184946201224,0.05959566659753391,28150,triangular
approved,0.05,1,nnet,0.04177031965746203,0.015248058176418873,2.739386168007927,0.006155402622793492,0.011913704532659528,0.07162693478226453,0.05971323024960501,28150,triangular
approved,0.05,1,nocov,0.047404068041991015,0.015035768913865242,3.1527531657045706,0.0016173850574578803,0.017935480814390756,0.07687265526959128,0.058937174455200525,28150,epanechnikov
approved,0.05,1,ridge,0.04299728303355142,0.015182012296085675,2.83212015607689,0.00462404689637367,0.013246204712215003,0.07274836135488784,0.05950215664267283,28150,epanechnikov
approved,0.05,1,lasso,0.046072992479977884,0.015182484796610028,3.0346147614957695,0.002408431065212638,0.016315869082795302,0.07583011587716046,0.05951424679436516,28150,epanechnikov
approved,0.05,1,rf,0.04681626147427741,0.015112189497920502,3.0979138714955576,0.001948880592988141,0.017245527795894736,0.07638699515266008,0.05914146735676534,28150,epanechnikov
approved,0.05,1,lgbm,0.04356372399163109,0.015230734422576395,2.8602510412798567,0.004233057712491782,0.013913907481802403,0.07337723201815771,0.059463324536355305,28150,epanechnikov
approved,0.05,1,xgb,0.04458857416300846,0.01517203722975783,2.938865327561562,0.0032941617665547883,0.014924891107379833,0.07425225721863708,0.059327366111257246,28150,epanechnikov
approved,0.05,1,nnet,0.04324685482320881,0.01530007080272156,2.8265787381530356,0.00470481758646169,0.013133266785706008,0.07336044286071161,0.060227176075005606,28150,epanechnikov
