"covariate","rd_estimator","robust_pvalue","ci_lower","ci_upper","mse_bandwidth","eff_n"
"applicant_income_log",0.0291436959296778,0.312174890730867,-0.0198271997178096,0.0620453414576118,0.0410493985892566,6664
"log_loan_amount",-0.148670703226198,0,-0.158114414034506,-0.146074373777837,0.00885110985636999,3016
"agency_1",0.0735461331352986,9.95307130307723e-05,0.040693288832961,0.123267734264138,0.0307588841133118,5655
"agency_2",0.0393598834864597,0.000361920830259286,0.0202679981658997,0.0697247857540796,0.0496135075979502,8224
"agency_3",0.00531273955380594,0.388385503602528,-0.00838270151693219,0.021560014205069,0.0879520441154954,13173
"agency_5",-0.0176662146826164,0.00284999857630476,-0.0329412952264517,-0.00682028265809688,0.0452253209949916,7965
"agency_7",-0.0261154765640004,0.320158689951837,-0.0631686310637784,0.0206527813285692,0.0377706206401457,6422
"agency_9",-0.129449760464682,4.83108270857236e-20,-0.164587803443989,-0.106608796614673,0.0186464468492228,4050
"year",-1.51245036995397,1.82032449197093e-115,-1.71794032271215,-1.44640394200927,0.0118203372603565,3327
